"","ISO","year","PriorityArea","Policy","valueCAP_Comp","Policytype","Policytype_detail"
"94832","USA",2003,"International","Ban on Financing Fossil Fuels Abroad",0,"NMBI","Technology Standards"
"94833","USA",2003,"International","Evaluation Biannual Report",0,"Other","Climate data"
"94834","USA",2003,"International","GHG Reporting Accounting",NA,"Other","Climate data"
"94835","USA",2003,"International","International Initiatives",0,"Other","International Co-operation"
"94836","USA",2003,"International","Pricing Aviation Maritime",0,"MBI","Carbon Pricing"
"94837","USA",2003,"International","Ratification of Climate Treaties",5,"Other","International Co-operation"
"94838","USA",2003,"International","UNFCCC Submission",3,"Other","Climate data"
"94839","USA",2003,"Transport","Bans and Phaseouts passenger cars ICE",0,"NMBI","Technology Standards"
"94840","USA",2003,"Transport","Carbon Tax Transport",0,"MBI","Carbon Pricing"
"94841","USA",2003,"Transport","Congestion Charges",0,"MBI","Other MBI"
"94842","USA",2003,"Transport","ETS Transport",0,"MBI","Carbon Pricing"
"94843","USA",2003,"Transport","Excise Tax Transport",2,"MBI","Carbon Pricing"
"94844","USA",2003,"Transport","Fossil Fuel Subsidies Transport",NA,"MBI","Carbon Pricing"
"94845","USA",2003,"Transport","Investment in Rail Infrastructure",1,"NMBI","Other NMBI"
"94846","USA",2003,"Transport","Labels Passenger Cars",0,"NMBI","Information"
"94847","USA",2003,"Transport","MEPS Transport",5,"NMBI","Performance Standards"
"94848","USA",2003,"Transport","Speed Limits",7,"NMBI","Other NMBI"
"94849","USA",2004,"Buildings","Bans and Phaseouts Fossil Fuels Heating",0,"NMBI","Technology Standards"
"94850","USA",2004,"Buildings","BuildingEnergyCodes",5,"NMBI","Performance Standards"
"94851","USA",2004,"Buildings","Carbon Tax Buildings",0,"MBI","Carbon Pricing"
"94852","USA",2004,"Buildings","ETS Buildings",0,"MBI","Carbon Pricing"
"94853","USA",2004,"Buildings","ETS_Buildings",0,"MBI","Carbon Pricing"
"94854","USA",2004,"Buildings","Excise Taxes Buildings",NA,"MBI","Carbon Pricing"
"94855","USA",2004,"Buildings","Financing Mechanism Buildings",NA,"MBI","Subsidy"
"94856","USA",2004,"Buildings","Fossil Fuel Subsides Buildings",NA,"MBI","Carbon Pricing"
"94857","USA",2004,"Buildings","Labels Appliances",10,"NMBI","Information"
"94858","USA",2004,"Buildings","MEPS of appliances",8,"NMBI","Performance Standards"
"94859","USA",2004,"Cross_sectoral","Bans Phase Outs Fossil Fuel Extraction",0,"NMBI","Technology Standards"
"94860","USA",2004,"Cross_sectoral","Fossil Fuel Subsidies Producer Support",NA,"MBI","Carbon Pricing"
"94861","USA",2004,"Cross_sectoral","Independent Advisory Body",0,"Other","Governance"
"94862","USA",2004,"Cross_sectoral","Methane Policies",4,"NMBI","Other NMBI"
"94863","USA",2004,"Cross_sectoral","Nationally Determined Contributions",NA,"Other","Targets"
"94864","USA",2004,"Cross_sectoral","Net Zero Targets",0,"Other","Targets"
"94865","USA",2004,"Cross_sectoral","RDD_CCS",4,"MBI","Other MBI"
"94866","USA",2004,"Cross_sectoral","RDD_EnergyEfficiency",4,"MBI","Other MBI"
"94867","USA",2004,"Cross_sectoral","RDD_Hydrogen",6,"MBI","Other MBI"
"94868","USA",2004,"Cross_sectoral","RDD_Nuclear",5,"MBI","Other MBI"
"94869","USA",2004,"Cross_sectoral","RDD_Otherstorage",3,"MBI","Other MBI"
"94870","USA",2004,"Cross_sectoral","RDD_Renewables",3,"MBI","Other MBI"
"94871","USA",2004,"Electricity","AirEmissionStandards",2,"NMBI","Performance Standards"
"94872","USA",2004,"Electricity","Auction",0,"MBI","Subsidy"
"94873","USA",2004,"Electricity","BanPhaseOutCoal",0,"NMBI","Technology Standards"
"94874","USA",2004,"Electricity","Carbon Tax Electricity",0,"MBI","Carbon Pricing"
"94875","USA",2004,"Electricity","ETS Electricity",0,"MBI","Carbon Pricing"
"94876","USA",2004,"Electricity","Excise Taxes Electricity",NA,"MBI","Carbon Pricing"
"94877","USA",2004,"Electricity","Feed-In-Tariffs",0,"MBI","Subsidy"
"94878","USA",2004,"Electricity","Fossil Fuel Subsidies Electricity",NA,"MBI","Carbon Pricing"
"94879","USA",2004,"Electricity","PlanningRenewablesExpansion",NA,"NMBI","Other regulatory instruments"
"94880","USA",2004,"Electricity","Renewable energy certificates",2,"MBI","Subsidy"
"94881","USA",2004,"Industry","Carbon Tax Industry",0,"MBI","Carbon Pricing"
"94882","USA",2004,"Industry","ETS Industry",0,"MBI","Carbon Pricing"
"94883","USA",2004,"Industry","EnergyEfficiencyMandates",NA,"NMBI","Other regulatory instruments"
"94884","USA",2004,"Industry","Excise Taxes Industry",NA,"MBI","Carbon Pricing"
"94885","USA",2004,"Industry","Financing Mechanism Industry",NA,"MBI","Subsidy"
"94886","USA",2004,"Industry","Fossil Fuel Subsidies Industry",NA,"MBI","Carbon Pricing"
"94887","USA",2004,"Industry","MEPS electric motors",7,"NMBI","Performance Standards"
"94888","USA",2004,"International","Ban on Export Credits Coal",0,"NMBI","Technology Standards"
"94889","USA",2004,"International","Ban on Financing Fossil Fuels Abroad",0,"NMBI","Technology Standards"
"94890","USA",2004,"International","Evaluation Biannual Report",0,"Other","Climate data"
"94891","USA",2004,"International","GHG Reporting Accounting",NA,"Other","Climate data"
"94892","USA",2004,"International","International Initiatives",0,"Other","International Co-operation"
"94893","USA",2004,"International","Pricing Aviation Maritime",0,"MBI","Carbon Pricing"
"94894","USA",2004,"International","Ratification of Climate Treaties",5,"Other","International Co-operation"
"94895","USA",2004,"International","UNFCCC Submission",3,"Other","Climate data"
"94896","USA",2004,"Transport","Bans and Phaseouts passenger cars ICE",0,"NMBI","Technology Standards"
"94897","USA",2004,"Transport","Carbon Tax Transport",0,"MBI","Carbon Pricing"
"94898","USA",2004,"Transport","Congestion Charges",0,"MBI","Other MBI"
"94899","USA",2004,"Transport","ETS Transport",0,"MBI","Carbon Pricing"
"94900","USA",2004,"Transport","Excise Tax Transport",2,"MBI","Carbon Pricing"
"94901","USA",2004,"Transport","Fossil Fuel Subsidies Transport",NA,"MBI","Carbon Pricing"
"94902","USA",2004,"Transport","Investment in Rail Infrastructure",1,"NMBI","Other NMBI"
"94903","USA",2004,"Transport","Labels Passenger Cars",0,"NMBI","Information"
"94904","USA",2004,"Transport","MEPS Transport",5,"NMBI","Performance Standards"
"94905","USA",2004,"Transport","Speed Limits",7,"NMBI","Other NMBI"
"94906","USA",2005,"Buildings","Bans and Phaseouts Fossil Fuels Heating",0,"NMBI","Technology Standards"
"94907","USA",2005,"Buildings","BuildingEnergyCodes",5,"NMBI","Performance Standards"
"94908","USA",2005,"Buildings","Carbon Tax Buildings",0,"MBI","Carbon Pricing"
"94909","USA",2005,"Buildings","ETS Buildings",0,"MBI","Carbon Pricing"
"94910","USA",2005,"Buildings","ETS_Buildings",0,"MBI","Carbon Pricing"
"94911","USA",2005,"Buildings","Excise Taxes Buildings",NA,"MBI","Carbon Pricing"
"94912","USA",2005,"Buildings","Financing Mechanism Buildings",NA,"MBI","Subsidy"
"94913","USA",2005,"Buildings","Fossil Fuel Subsides Buildings",NA,"MBI","Carbon Pricing"
"94914","USA",2005,"Buildings","Labels Appliances",10,"NMBI","Information"
"94915","USA",2005,"Buildings","MEPS of appliances",8,"NMBI","Performance Standards"
"94916","USA",2005,"Cross_sectoral","Bans Phase Outs Fossil Fuel Extraction",0,"NMBI","Technology Standards"
"94917","USA",2005,"Cross_sectoral","Fossil Fuel Subsidies Producer Support",NA,"MBI","Carbon Pricing"
"94918","USA",2005,"Cross_sectoral","Independent Advisory Body",0,"Other","Governance"
"94919","USA",2005,"Cross_sectoral","Methane Policies",4,"NMBI","Other NMBI"
"94920","USA",2005,"Cross_sectoral","Nationally Determined Contributions",NA,"Other","Targets"
"94921","USA",2005,"Cross_sectoral","Net Zero Targets",0,"Other","Targets"
"94922","USA",2005,"Cross_sectoral","RDD_CCS",5,"MBI","Other MBI"
"94923","USA",2005,"Cross_sectoral","RDD_EnergyEfficiency",5,"MBI","Other MBI"
"94924","USA",2005,"Cross_sectoral","RDD_Hydrogen",8,"MBI","Other MBI"
"94925","USA",2005,"Cross_sectoral","RDD_Nuclear",6,"MBI","Other MBI"
"94926","USA",2005,"Cross_sectoral","RDD_Otherstorage",4,"MBI","Other MBI"
"94927","USA",2005,"Cross_sectoral","RDD_Renewables",3,"MBI","Other MBI"
"94928","USA",2005,"Electricity","AirEmissionStandards",2,"NMBI","Performance Standards"
"94929","USA",2005,"Electricity","Auction",0,"MBI","Subsidy"
"94930","USA",2005,"Electricity","BanPhaseOutCoal",0,"NMBI","Technology Standards"
"94931","USA",2005,"Electricity","Carbon Tax Electricity",0,"MBI","Carbon Pricing"
"94932","USA",2005,"Electricity","ETS Electricity",0,"MBI","Carbon Pricing"
"94933","USA",2005,"Electricity","Excise Taxes Electricity",NA,"MBI","Carbon Pricing"
"94934","USA",2005,"Electricity","Feed-In-Tariffs",0,"MBI","Subsidy"
"94935","USA",2005,"Electricity","Fossil Fuel Subsidies Electricity",NA,"MBI","Carbon Pricing"
"94936","USA",2005,"Electricity","PlanningRenewablesExpansion",NA,"NMBI","Other regulatory instruments"
"94937","USA",2005,"Electricity","Renewable energy certificates",2,"MBI","Subsidy"
